,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",2639517,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"Life Is Good (feat. Drake)",Future,1571038,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
3,"Intentions (feat. Quavo)","Justin Bieber",1547576,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
4,"No Time To Die","Billie Eilish",1453095,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
5,"Forever (feat. Post Malone & Clever)","Justin Bieber",1188522,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
6,ROXANNE,"Arizona Zervas",1148401,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
7,"Blinding Lights","The Weeknd",1051017,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
8,"High Fashion (feat. Mustard)","Roddy Ricch",1028121,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
9,Falling,"Trevor Daniel",994267,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
10,"Blueberry Faygo","Lil Mosey",981430,https://open.spotify.com/track/6wJYhPfqk3KGhHRG76WzOh
11,Yummy,"Justin Bieber",978271,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
12,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie",971592,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
13,"Don't Start Now","Dua Lipa",907858,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
14,Circles,"Post Malone",899146,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
15,"Dance Monkey","Tones and I",882895,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
16,"Godzilla (feat. Juice WRLD)",Eminem,876749,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
17,"everything i wanted","Billie Eilish",848644,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
18,BOP,DaBaby,845601,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
19,Suicidal,"YNW Melly",838711,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
20,"Ballin' (with Roddy Ricch)",Mustard,770858,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
21,"Give No Fxk",Migos,768748,https://open.spotify.com/track/6ZelF5APDN5r6XnFqcnvWR
22,"Say So","Doja Cat",742069,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
23,"WHATS POPPIN","Jack Harlow",703387,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
24,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",664757,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
25,"To Die For","Sam Smith",660036,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
26,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,657903,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
27,"Adore You","Harry Styles",640962,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
28,"Come Around Me","Justin Bieber",615359,https://open.spotify.com/track/2o9LAypwGH4ctV0i9boo6d
29,"My Oh My (feat. DaBaby)","Camila Cabello",613111,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
30,Woah,"Lil Baby",606473,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
31,"You should be sad",Halsey,605918,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
32,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",594367,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
33,"Might Not Give Up (feat. Young Thug)","A Boogie Wit da Hoodie",592580,https://open.spotify.com/track/4l2rsMfr20dj6nf6i6F3Y8
34,Habitual,"Justin Bieber",582077,https://open.spotify.com/track/40qyPyljksBEqlNw5sW37T
35,"All Around Me","Justin Bieber",576101,https://open.spotify.com/track/5Py8zRKGkZvgHniVVtvNCN
36,"Breathe Deeper","Tame Impala",570354,https://open.spotify.com/track/3LbZIhU0smEU5SUnxod4j4
37,"Second Emotion (feat. Travis Scott)","Justin Bieber",564373,https://open.spotify.com/track/1PnAx788sAvcI3ZxTlEyX8
38,"Running Over (feat. Lil Dicky)","Justin Bieber",559876,https://open.spotify.com/track/75nKBP8jQu681pTNCtrEnn
39,"Someone You Loved","Lewis Capaldi",559741,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
40,SUGAR,BROCKHAMPTON,557840,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
41,"OUT WEST (feat. Young Thug)",JACKBOYS,556734,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
42,"hot girl bummer",blackbear,539066,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
43,"Go Stupid","Polo G",537540,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
44,"bad guy","Billie Eilish",537500,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
45,"Get Me (feat. Kehlani)","Justin Bieber",519911,https://open.spotify.com/track/5VwwpU7KsLhgfbMEecedhJ
46,"Lucid Dreams","Juice WRLD",519600,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
47,"Futsal Shuffle 2020","Lil Uzi Vert",518612,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
48,Available,"Justin Bieber",510799,https://open.spotify.com/track/1b6tPXXCV2fSNtR3SKWUQA
49,"HIGHEST IN THE ROOM","Travis Scott",503301,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
50,"Stain (feat. DaBaby)","A Boogie Wit da Hoodie",498283,https://open.spotify.com/track/0dIz1I7IwX5ardG47AHxCZ
51,"10,000 Hours (with Justin Bieber)","Dan + Shay",493261,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
52,Robbery,"Juice WRLD",490168,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
53,VIBEZ,DaBaby,485549,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
54,Tusa,"KAROL G",476401,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
55,"Me and My Guitar","A Boogie Wit da Hoodie",457316,https://open.spotify.com/track/6cZH4rX1KTt1aJ3Ql6Ynja
56,Suge,DaBaby,454837,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
57,Ignorantes,"Bad Bunny",454532,https://open.spotify.com/track/3wYRLYuO1M88d8woWUIxct
58,"No Idea","Don Toliver",449167,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
59,"One More Year","Tame Impala",443897,https://open.spotify.com/track/5ozqshq2dtU7SYCpCBu0NE
60,"What A Man Gotta Do","Jonas Brothers",438862,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
61,"Take It Out On Me","Justin Bieber",436087,https://open.spotify.com/track/39nTNk5MfyiiRupTwn1iyC
62,"Sum 2 Prove","Lil Baby",433488,https://open.spotify.com/track/2u3EyuCqqV31woqGvO9LBz
63,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",433206,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
64,"when the party's over","Billie Eilish",432084,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
65,"Sunday Best",Surfaces,427919,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
66,"Know Your Worth",Khalid,422157,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
67,Ransom,"Lil Tecca",421834,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
68,Memories,"Maroon 5",421606,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
69,Changes,"Justin Bieber",420412,https://open.spotify.com/track/521Os1SMlxmsoevsqyjNmJ
70,"Money In The Grave (Drake ft. Rick Ross)",Drake,415341,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
71,Confirmation,"Justin Bieber",414958,https://open.spotify.com/track/60brXKLTC15vK0av5gIldm
72,E.T.A.,"Justin Bieber",413081,https://open.spotify.com/track/6PzOPrXx8tJEqace76yrv2
73,"Thug Love","A Boogie Wit da Hoodie",410295,https://open.spotify.com/track/4MzhmCOgPB7xb87f1CXjlA
74,"ORANGE SODA","Baby Keem",405866,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD
75,"Truth Hurts",Lizzo,403004,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
76,"223's (feat. 9lokknine)","YNW Melly",401571,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
77,"Instant Destiny","Tame Impala",395952,https://open.spotify.com/track/6WCXBUFa0z3l9DoOY3k5Xe
78,Run,Joji,395734,https://open.spotify.com/track/6p8eEdiZLKJH8tcjGZuNTK
79,"King Of My City","A Boogie Wit da Hoodie",394281,https://open.spotify.com/track/3o0nkjyy6eZL5lZcEpvJec
80,Heartless,"The Weeknd",391102,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
81,"Goodbyes (Feat. Young Thug)","Post Malone",376167,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
82,Borderline,"Tame Impala",375798,https://open.spotify.com/track/5hM5arv9KDbCHS0k9uqwjr
83,"Posthumous Forgiveness","Tame Impala",374630,https://open.spotify.com/track/1KcOU0q9AMXV9xi4tSzzCc
84,"All Girls Are The Same","Juice WRLD",374344,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
85,Wow.,"Post Malone",373359,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
86,"lovely (with Khalid)","Billie Eilish",373266,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
87,"That's What Love Is","Justin Bieber",371056,https://open.spotify.com/track/2hLu8L8SNfCN4yKyPdX0h3
88,"MIDDLE CHILD","J. Cole",369756,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
89,"Luv Is Art (feat. Lil Uzi Vert)","A Boogie Wit da Hoodie",368785,https://open.spotify.com/track/0LVaWrTztFOuN7g7gcyLs8
90,"Lost In Yesterday","Tame Impala",367598,https://open.spotify.com/track/5JWPUEov2wlX7c0jhYZpeB
91,"death bed (feat. beabadoobee)",Powfu,365839,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
92,"Make No Sense","YoungBoy Never Broke Again",359906,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I
93,"No Guidance (feat. Drake)","Chris Brown",358293,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
94,"Still Be Friends (feat. Tory Lanez & Tyga)",G-Eazy,357596,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
95,"Before You Go","Lewis Capaldi",357350,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
96,Señorita,"Shawn Mendes",353815,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
97,"I Do It (ft. Big Sean, Lil Baby)","Lil Wayne",349021,https://open.spotify.com/track/1bRO28yzxgO3y3UmNR29TZ
98,"Tomorrow's Dust","Tame Impala",346049,https://open.spotify.com/track/666PdikRnUzdvjT9p5wWND
99,"At Least For Now","Justin Bieber",345939,https://open.spotify.com/track/6VLkgf5YmLixsabdqiCVGU
100,"Watermelon Sugar","Harry Styles",341437,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
101,"Murder On My Mind","YNW Melly",341395,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
102,Camelot,"NLE Choppa",341361,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
103,"Start Wit Me (feat. Gunna)","Roddy Ricch",338587,https://open.spotify.com/track/7A20WnLkjtZU2d7hIB6Ziu
104,"Is It True","Tame Impala",337258,https://open.spotify.com/track/6RZmhpvukfyeSURhf4kZ0d
105,"Lose You To Love Me","Selena Gomez",336687,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
106,Physical,"Dua Lipa",336567,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
107,"Good News","Mac Miller",335326,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
108,"Stuck In A Dream (feat. Gunna)","Lil Mosey",332198,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
109,"Pop Out (feat. Lil Tjay)","Polo G",331601,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
110,Rare,"Selena Gomez",329807,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
111,"On Track","Tame Impala",328686,https://open.spotify.com/track/0IuE6FnXPCdZ8NLuuvJRhb
112,"What If I Told You That I Love You","Ali Gatie",327911,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
113,"Baby (Lil Baby feat. DaBaby)","Quality Control",327572,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
114,EARFQUAKE,"Tyler, The Creator",325686,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
115,"SLOW DANCING IN THE DARK",Joji,324976,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
116,"Going Bad (feat. Drake)","Meek Mill",324633,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
117,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",324546,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
118,Yikes,"Nicki Minaj",324207,https://open.spotify.com/track/75dLEqanQTupF3dtP9exT5
119,"If The World Was Ending (feat. Julia Michaels)","JP Saxe",324186,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
120,Vete,"Bad Bunny",323642,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
121,July,"Noah Cyrus",323240,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
122,"Cinderella Story","A Boogie Wit da Hoodie",323059,https://open.spotify.com/track/18AIesWCXvIbXu8RqQw1E1
123,"SICKO MODE","Travis Scott",319076,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
124,SAD!,XXXTENTACION,317553,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
125,"Jocelyn Flores",XXXTENTACION,316182,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
126,Legends,"Juice WRLD",311575,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
127,"Hate Me (with Juice WRLD)","Ellie Goulding",308301,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
128,"ocean eyes","Billie Eilish",307686,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
129,"me & ur ghost",blackbear,306984,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
130,"Yummy - Summer Walker Remix","Justin Bieber",304274,https://open.spotify.com/track/2FBpJGt00G0h1q0RHuqaGO
131,"rockstar (feat. 21 Savage)","Post Malone",300481,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
132,F.N,"Lil Tjay",299914,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
133,VALENTINO,24kGoldn,299854,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q
134,"DTB 4 Life","A Boogie Wit da Hoodie",297649,https://open.spotify.com/track/4CXSzoyTD2MmedFArsSIUp
135,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",297478,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m
136,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",294982,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
137,"Hit 'Em Up (feat. Trap Manny)","A Boogie Wit da Hoodie",294507,https://open.spotify.com/track/7ExiKb3YCTGpaLPtFKzYUk
138,"The London (feat. J. Cole & Travis Scott)","Young Thug",292540,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
139,"Heartless (feat. Morgan Wallen)",Diplo,290848,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
140,Maniac,"Conan Gray",290310,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
141,"7 rings","Ariana Grande",290071,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
142,Lalala,Y2K,288004,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
143,"Another Day Gone (feat. Khalid)","A Boogie Wit da Hoodie",285113,https://open.spotify.com/track/63dg6LdBGxa0QA93M2snLA
144,"It Might Be Time","Tame Impala",283694,https://open.spotify.com/track/558ubozatFQlweufvHa3Ip
145,"I Fall Apart","Post Malone",282898,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
146,"I Don't Care (with Justin Bieber)","Ed Sheeran",282522,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
147,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",282284,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
148,"Knocked Off","YoungBoy Never Broke Again",280570,https://open.spotify.com/track/3a0Wh4w8gkib4KRfWGfG0P
149,"Good as Hell (feat. Ariana Grande)",Lizzo,278955,https://open.spotify.com/track/2rjjNUYONZqC7wSd1i6OFq
150,"Armed And Dangerous","Juice WRLD",278543,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
151,"Beautiful Crazy","Luke Combs",278032,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
152,"Reply (feat. Lil Uzi Vert)","A Boogie Wit da Hoodie",277363,https://open.spotify.com/track/1njRzdfGNUY2RZU0lVO787
153,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",276083,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
154,"Whiskey Glasses","Morgan Wallen",275398,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
155,Panini,"Lil Nas X",275372,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
156,"One Man Band","Old Dominion",275121,https://open.spotify.com/track/08dFHFTx6r67MTsYn5ilDR
157,"Better Now","Post Malone",274473,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
158,"Enemies (feat. DaBaby)","Post Malone",272893,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
159,"Lottery (Renegade)","K CAMP",272526,https://open.spotify.com/track/4dZTZbmJBCCofAExHwefda
160,"Old Town Road - Remix","Lil Nas X",271633,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
161,"Blood On My Denim","A Boogie Wit da Hoodie",269167,https://open.spotify.com/track/0LHWHUcUYhFAUkCt2q4Gad
162,"Broke In A Minute","Tory Lanez",268843,https://open.spotify.com/track/2ZrAjMSmlbDIil0JaVgTHh
163,"Without Me",Halsey,268209,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
164,"Talk (feat. Disclosure)",Khalid,267692,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
165,Moonlight,XXXTENTACION,267357,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
166,"Tip Toe (feat. A Boogie Wit da Hoodie)","Roddy Ricch",267321,https://open.spotify.com/track/6ztvsy3C6hPjVg9j4x1XKJ
167,"Beautiful People (feat. Khalid)","Ed Sheeran",267266,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
168,"RITMO (Bad Boys For Life)","The Black Eyed Peas",266050,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
169,Sucker,"Jonas Brothers",265796,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
170,Death,"Trippie Redd",265677,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y
171,goosebumps,"Travis Scott",265131,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
172,"BEST ON EARTH (feat. BIA) - Bonus",Russ,264160,https://open.spotify.com/track/0xKBkLcF71uUQeTA7FSu4A
173,"Mood Swings","A Boogie Wit da Hoodie",263988,https://open.spotify.com/track/0VZe8C7xgAIQC0E0qEVIEh
174,"The Less I Know The Better","Tame Impala",263544,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
175,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,263499,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
176,"XO Tour Llif3","Lil Uzi Vert",263396,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
177,Speechless,"Dan + Shay",263166,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
178,FML,"Arizona Zervas",260336,https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf
179,"Juicy (feat. Tyga)","Doja Cat",258337,https://open.spotify.com/track/7f5trao56t7sB7f14QDTmp
180,"Because Of You","Kodak Black",256357,https://open.spotify.com/track/75N0cen8wTAlL5nPFprGoE
181,"Say You Won't Let Go","James Arthur",256092,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
182,"Sanguine Paradise","Lil Uzi Vert",255896,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
183,Happier,Marshmello,255652,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
184,"Lose Control",MEDUZA,254656,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
185,"One More Hour","Tame Impala",254122,https://open.spotify.com/track/0mO6oS60RST2sWmN2FKknP
186,"bury a friend","Billie Eilish",253878,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
187,"Eastside (with Halsey & Khalid)","benny blanco",252478,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
188,"Calm Down (Bittersweet) [feat. Summer Walker]","A Boogie Wit da Hoodie",252104,https://open.spotify.com/track/1U5pPF8f6APVCoc6t2KfIB
189,"You Need To Calm Down","Taylor Swift",251952,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
190,Callaita,"Bad Bunny",251237,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
191,"Lean Wit Me","Juice WRLD",251062,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa
192,"How I Move (feat. Lil Baby)","Flipp Dinero",250800,https://open.spotify.com/track/14X1WxiHXdVRJ99cMCBzOE
193,"Cash Shit (feat. DaBaby)","Megan Thee Stallion",248798,https://open.spotify.com/track/2rMAtCaTj16NptyVfEIeAC
194,Glimmer,"Tame Impala",248130,https://open.spotify.com/track/1unBUyjeQUDiJ8N89XiDrr
195,"Ransom (with Juice WRLD) - Remix","Lil Tecca",247705,https://open.spotify.com/track/2WsuSYJNXGKXVYkHPnq2yp
196,"Yes Indeed","Lil Baby",246989,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
197,"Hot (feat. Gunna)","Young Thug",246925,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
198,"Lights Up","Harry Styles",246508,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
199,"Into the Unknown","Idina Menzel",246281,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W
200,"No Shame","5 Seconds of Summer",245336,https://open.spotify.com/track/5JSVa5i6lFPoyOzK4gj0Ox
